key,Dynasty,Count
写景,〔宋代〕,31
写景,〔唐代〕,56
写景,〔元代〕,4
写景,〔近现代〕,3
写景,〔南北朝〕,3
写景,〔清代〕,1
写景,〔两汉〕,1
写景,〔五代〕,1
咏物,〔唐代〕,37
咏物,〔近现代〕,4
咏物,〔宋代〕,34
咏物,〔清代〕,9
咏物,〔元代〕,3
咏物,〔明代〕,5
咏物,〔南北朝〕,2
咏物,〔魏晋〕,1
咏物,〔两汉〕,3
咏物,〔金朝〕,1
咏物,〔先秦〕,1
春天,〔唐代〕,40
春天,〔宋代〕,46
春天,〔清代〕,4
春天,〔元代〕,1
春天,〔五代〕,6
春天,〔明代〕,1
春天,〔南北朝〕,2
夏天,〔宋代〕,51
夏天,〔唐代〕,30
夏天,〔元代〕,5
夏天,〔清代〕,6
夏天,〔魏晋〕,2
夏天,〔明代〕,3
夏天,〔近现代〕,1
夏天,〔南北朝〕,1
夏天,〔隋代〕,1
秋天,〔唐代〕,51
秋天,〔元代〕,7
秋天,〔宋代〕,30
秋天,〔五代〕,3
秋天,〔魏晋〕,2
秋天,〔两汉〕,3
秋天,〔清代〕,2
秋天,〔隋代〕,1
秋天,〔南北朝〕,1
冬天,〔唐代〕,42
冬天,〔宋代〕,19
冬天,〔南北朝〕,3
冬天,〔元代〕,7
冬天,〔清代〕,4
冬天,〔近现代〕,2
冬天,〔两汉〕,1
冬天,〔魏晋〕,1
冬天,〔金朝〕,1
写雨,〔宋代〕,46
写雨,〔唐代〕,31
写雨,〔元代〕,4
写雨,〔清代〕,7
写雨,〔五代〕,3
写雨,〔明代〕,4
写雨,〔魏晋〕,1
写雨,〔先秦〕,1
写雨,〔近现代〕,3
写雪,〔近现代〕,2
写雪,〔唐代〕,37
写雪,〔明代〕,5
写雪,〔宋代〕,28
写雪,〔南北朝〕,5
写雪,〔清代〕,12
写雪,〔元代〕,10
写雪,〔金朝〕,1
写风,〔唐代〕,17
写风,〔宋代〕,15
写风,〔两汉〕,1
写风,〔清代〕,3
写风,〔先秦〕,4
写风,〔明代〕,1
写花,〔唐代〕,34
写花,〔五代〕,2
写花,〔宋代〕,40
写花,〔两汉〕,1
写花,〔清代〕,14
写花,〔金朝〕,2
写花,〔南北朝〕,1
写花,〔元代〕,5
写花,〔未知〕,1
梅花,〔近现代〕,1
梅花,〔宋代〕,61
梅花,〔元代〕,6
梅花,〔唐代〕,13
梅花,〔南北朝〕,5
梅花,〔清代〕,9
梅花,〔金朝〕,1
梅花,〔五代〕,2
梅花,〔明代〕,2
荷花,〔宋代〕,23
荷花,〔唐代〕,10
荷花,〔五代〕,4
荷花,〔元代〕,3
荷花,〔金朝〕,1
荷花,〔隋代〕,1
荷花,〔清代〕,2
荷花,〔魏晋〕,2
荷花,〔南北朝〕,2
